class_raw,train,val,test,total
Apple___Apple_scab,441,95,94,630
Apple___Black_rot,435,93,93,621
Apple___Cedar_apple_rust,193,41,41,275
Apple___healthy,1027,306,305,1638
Blueberry___healthy,944,279,279,1502
Cherry_(including_sour)___Powdery_mildew,736,158,158,1052
Cherry_(including_sour)___healthy,598,128,128,854
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,359,77,77,513
Corn_(maize)___Common_rust_,834,179,179,1192
Corn_(maize)___Northern_Leaf_Blight,689,148,148,985
Corn_(maize)___healthy,814,174,174,1162
Grape___Black_rot,826,177,177,1180
Grape___Esca_(Black_Measles),968,208,207,1383
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),754,161,161,1076
Grape___healthy,296,64,63,423
Orange___Haunglongbing_(Citrus_greening),3854,827,826,5507
Peach___Bacterial_spot,1609,344,344,2297
Peach___healthy,252,54,54,360
"Pepper,_bell___Bacterial_spot",697,150,150,997
"Pepper,_bell___healthy",1035,222,221,1478
Potato___Early_blight,700,150,150,1000
Potato___Late_blight,700,150,150,1000
Potato___healthy,99,27,26,152
Raspberry___healthy,259,56,56,371
Soybean___healthy,3693,699,698,5090
Squash___Powdery_mildew,1285,275,275,1835
Strawberry___Leaf_scorch,776,167,166,1109
Strawberry___healthy,392,31,33,456
Tomato___Bacterial_spot,1489,319,319,2127
Tomato___Early_blight,700,150,150,1000
Tomato___Late_blight,1329,285,285,1899
Tomato___Leaf_Mold,666,143,143,952
Tomato___Septoria_leaf_spot,1240,266,265,1771
Tomato___Spider_mites Two-spotted_spider_mite,1173,252,251,1676
Tomato___Target_Spot,983,211,210,1404
Tomato___Tomato_Yellow_Leaf_Curl_Virus,3751,803,803,5357
Tomato___Tomato_mosaic_virus,261,56,56,373
Tomato___healthy,1140,224,221,1585
