epoch,lr,seconds,train_loss,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_acc,val_macro_precision,val_macro_recall,val_macro_f1
1,0.0001,171.8,0.6530512035868354,0.870595046977393,0.8169076442718506,0.857772946357727,0.8298529386520386,0.10457123988289155,0.9736163946496502,0.9674537777900696,0.9698151350021362,0.9676433801651001
2,0.0001,170.2,0.11212881452554677,0.9706818959391531,0.9553931951522827,0.9696003794670105,0.9617328643798828,0.05163457008495384,0.9844152656767702,0.9772453904151917,0.9832295179367065,0.9796122312545776
3,0.0001,171.2,0.07177972027187168,0.980024738795168,0.9712194800376892,0.979968786239624,0.9753884077072144,0.04025952011744649,0.9871149834335501,0.9799845218658447,0.985562801361084,0.9825749397277832
4,0.0001,171.7,0.05700807845265118,0.983103929257573,0.969464123249054,0.9834128618240356,0.9749740362167358,0.02758222942037163,0.9910418456252301,0.9888774752616882,0.9907439947128296,0.9896664023399353
5,0.0001,171.1,0.04481532966432433,0.9867094770639787,0.9774426221847534,0.9862501621246338,0.981437087059021,0.029429889836093504,0.9904282734077801,0.9852858185768127,0.9892597198486328,0.9867377281188965
6,0.0001,172.4,0.0423363036503944,0.9875253309471801,0.9805381894111633,0.9872915744781494,0.983753502368927,0.025650718660694963,0.99055098785127,0.9875209927558899,0.9880435466766357,0.9873933792114258
7,0.0001,171.1,0.03373707106512593,0.9894202173855831,0.9830502271652222,0.9887711405754089,0.9858020544052124,0.022196744838369784,0.9925144189471101,0.9905451536178589,0.9914810657501221,0.9907945394515991
8,0.0001,170.9,0.03301077432300846,0.9900255283311841,0.9837892055511475,0.989351749420166,0.9864535927772522,0.03385990768745244,0.9901828445208001,0.9858273267745972,0.9908351898193359,0.9880729913711548
9,0.0001,170.9,0.027300941531994243,0.9917888254335868,0.9871365427970886,0.9917033910751343,0.9893640279769897,0.023865481444223294,0.99202356117315,0.9908297061920166,0.9925378561019897,0.991629958152771
10,0.0001,170.4,0.024574064750330336,0.992499407847988,0.987047553062439,0.9926638603210449,0.9897196292877197,0.01906930114878971,0.9942324211559701,0.9903461933135986,0.993861973285675,0.991981029510498
11,0.0001,172.2,0.024128745491851362,0.9929994473247888,0.9898084998130798,0.992908239364624,0.9913114905357361,0.025509593421133694,0.99202356117315,0.9882458448410034,0.991081714630127,0.9892411231994629
12,0.0001,170.8,0.021636024234886975,0.9934468510671896,0.9901273846626282,0.9931371808052063,0.9916045665740967,0.021662368852556346,0.9930052767210701,0.9913584589958191,0.992314338684082,0.9917072653770447
13,0.0001,171.2,0.019008013750930527,0.9942100692159908,0.9915032386779785,0.993862509727478,0.9926639795303345,0.018265907667624898,0.9938642778255,0.9920635223388672,0.9930900931358337,0.9924744963645935
14,0.0001,170.7,0.023320415116906416,0.9928678579887886,0.9902864694595337,0.9923861026763916,0.9913206100463867,0.011786082529093035,0.9963185666953001,0.9953440427780151,0.9949023723602295,0.9950807094573975
15,0.0001,170.3,0.020689939130068582,0.9935521225359897,0.9889227151870728,0.9936299920082092,0.9911875128746033,0.017126848890076145,0.9933734200515401,0.9903355836868286,0.9934247732162476,0.9917429089546204
16,0.0001,172.9,0.01502739748907581,0.9954733268415927,0.9926505088806152,0.9955259561538696,0.9940640926361084,0.01645955189240565,0.9947232789299301,0.994670569896698,0.9928591847419739,0.9936740398406982
17,0.0001,171.6,0.014457685446363628,0.9953943732399926,0.9923679828643799,0.9955809116363525,0.9939375519752502,0.025614418362356516,0.9927598478340901,0.991592288017273,0.9878835082054138,0.9893721342086792
18,0.0001,170.0,0.018307069960231306,0.9950785588335921,0.9925631880760193,0.9945722818374634,0.9935505390167236,0.02898162529417314,0.9900601300773101,0.9859626293182373,0.9878126382827759,0.9862918853759766
19,5e-05,174.8,0.008393474514455965,0.9974208490143959,0.9963101744651794,0.9973512291908264,0.996826171875,0.011289296901290605,0.99644128113879,0.9947052597999573,0.9931663870811462,0.9937653541564941
20,5e-05,172.2,0.006622650506728634,0.9982103850303972,0.9972786903381348,0.998180627822876,0.9977262020111084,0.012085817197280654,0.99644128113879,0.9955425262451172,0.9956853985786438,0.9955729842185974
