path_a,class_a,sha256_a,dhash_a,split_a,path_b,class_b,sha256_b,dhash_b,split_b,hamming
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Orange___Haunglongbing_(Citrus_greening)\1a3a5d93-5025-473f-9ac2-5f963e50c5f9___UF.Citrus_HLB_Lab 0692.JPG,Orange___Haunglongbing_(Citrus_greening),73f3f5e7a63aa9c8a85d9f79765636824a29d56054bf6226479941eaabb80544,0000004848486000,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Late_blight\89c134ee-41f7-46b7-b4dc-4229b3b3ca08___GHLB2 Leaf 8952.JPG,Tomato___Late_blight,6d4668254dc6775fa2e0f15924bb5453eb093153f3f3ac466904f10709ef43f0,0000006048484000,val,3
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Orange___Haunglongbing_(Citrus_greening)\39b0f5b9-fd43-4ce6-9d28-e7754b88f5b7___CREC_HLB 7660.JPG,Orange___Haunglongbing_(Citrus_greening),e8125406aa867e59b3dd441af12e8f88da3cde728e803a49c326380554fbcf88,3068d89898985030,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Spider_mites Two-spotted_spider_mite\416c7502-7038-43fb-a700-d11d8a54cafb___Com.G_SpM_FL 9025.JPG,Tomato___Spider_mites Two-spotted_spider_mite,488008fa4e14fe81d6401cd4e810ae66f2e442a63d7f7b7580a9ec3176e243a7,3068d9989898d020,train,3
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Peach___Bacterial_spot\1df78012-4b87-40f4-bfa1-b868465c0b4d___Rut._Bact.S 1263.JPG,Peach___Bacterial_spot,d7703a29e3d03ee76217158b27a2a4bd4635dc4cf09a568f7385d8062f86d87b,fefcfd61d3c7cf9f,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Peach___healthy\0999b486-f391-4b79-8c3f-41e957e606a7___Rutg._HL 3701.JPG,Peach___healthy,8b75f7fdb3b6b3136e3c31e22a24a6e348b64ca3d533840fdbdfc69f5a850af1,f6fcf969d3c7cf9f,train,3
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Orange___Haunglongbing_(Citrus_greening)\b63f931e-8dad-462a-afa7-fcbca4ce958a___CREC_HLB 4002.JPG,Orange___Haunglongbing_(Citrus_greening),00231f61ecb1d6e56c8373326d2156e5cb8b44523a60adaf0271f0111f2b119d,b361c4c2c6c6e461,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Soybean___healthy\5a771eed-8089-4983-b714-f4fd566dc5b7___RS_HL 7356.JPG,Soybean___healthy,78128715a3833596a40ffcb845edc1ba22482c63797bbbb922e4af45fc589813,b761c4c2c2c6c461,train,3
"C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Pepper,_bell___Bacterial_spot\64367d1d-8954-432d-94bf-9ee75a812a85___NREC_B.Spot 1890.JPG","Pepper,_bell___Bacterial_spot",b9c449085a3d7d97598394b03fa8fc9d0b3e25f3ddf9c49e9f7c753f725b1690,b369cc8e8dcfec39,val,"C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Pepper,_bell___healthy\d53487cf-1f9c-464a-bf4e-aff3277e85b3___JR_HL 7885.JPG","Pepper,_bell___healthy",b76e9f8b384eade1212517a9a84a58d7f0c773d633d06a92b6f0695ed18ab305,b361ccce8dceec39,train,3
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Orange___Haunglongbing_(Citrus_greening)\965e7c93-1588-43af-af24-c08877c52e35___CREC_HLB 5493.JPG,Orange___Haunglongbing_(Citrus_greening),7cf69b851be3199916fa9ad2334d8f88b866a0777c4d36f866a0cab1f4567042,3071e8c4a6bec4e1,test,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Raspberry___healthy\caa9c1d8-620e-46fa-a8c8-038ee145dd20___Mary_HL 6230.JPG,Raspberry___healthy,f1b75c0b3c60eadee5235bddee3de43fecd0df5690da526b0dc62e76c2bd9ef9,1271e8c4a6a6c4e1,val,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Orange___Haunglongbing_(Citrus_greening)\771e954b-6188-4fe4-9e17-e7f2cd8f9297___CREC_HLB 5310.JPG,Orange___Haunglongbing_(Citrus_greening),6b0f7a6bc13142c05b24d72f48035f3d02e5f51e185b87ba549bee221f989fc6,b661ccc686c6e471,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Potato___Early_blight\a60106e3-e037-495f-8b5a-080adcb9bdd9___RS_Early.B 8561.JPG,Potato___Early_blight,162fb3dc8297eed46c3501138509ca4b81fe2b3c80bf5a6d592e4b9fd668e187,b661ccccc6cee471,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Soybean___healthy\dda1fb19-5ac2-4a68-b49d-d691ad784412___RS_HL 2966.JPG,Soybean___healthy,e912c110c34662145ed4931ec3db73f2d4e2bfe5d0d87be2dd09193b7943afc4,197cecc4ccccf819,test,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Strawberry___healthy\fea9a141-9561-4508-bd7d-49cd9412bd2f___RS_HL 1624.JPG,Strawberry___healthy,571e8cac294d67b61a0de13b3655f74f3dd127391cc6a07c54abdb1195f05dc9,397cccc4cccce839,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Peach___healthy\4f9facfb-c1ed-4254-8581-85c35091d5d8___Rutg._HL 3675.JPG,Peach___healthy,9e999597ffa05e346703539abd87a75cd45da4d9d259dd50488d86e8e16679b4,040c186058d080c0,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Leaf_Mold\fd686c68-9a4a-4d11-98fa-7c612aff9fd4___Crnl_L.Mold 6974.JPG,Tomato___Leaf_Mold,af88318df8608525cc197d79bb213ca9725d01705d63ab3a1b5683ab81e0b84a,041c3870d8d080c0,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Bacterial_spot\166a69a7-cae0-4e6e-ac75-bc207a5335f4___GCREC_Bact.Sp 5705.JPG,Tomato___Bacterial_spot,577b5b2b737d3c2ce9a266cafaae367163bd438e227f409a9f6fd66769396eb3,b071e8cccccecc6c,val,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Target_Spot\fddfa96b-42a0-43f1-bbee-eac32d7caff7___Com.G_TgS_FL 9820.JPG,Tomato___Target_Spot,8a1b06d95b42d4b1a1505936950bbf0c2e22dd89ecf73a427f6a48f68893a738,b171f8cccccecc69,val,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Bacterial_spot\c37d3b8a-fecc-488a-ab78-c00f5240283c___GCREC_Bact.Sp 3343.JPG,Tomato___Bacterial_spot,13678d45a83c659b9fb00b8c5b71e67a073c2249422a27804a8de56bec99a828,3060c9c8c88cc0e0,test,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Spider_mites Two-spotted_spider_mite\f03ba5ea-8380-4386-9e30-2e588a27d94a___Com.G_SpM_FL 9526.JPG,Tomato___Spider_mites Two-spotted_spider_mite,1a14ac006810ddbf0a07c88f3232682cf4ceb2c02fa1c83eb63a98c55228bbde,3060c9c8c8cce020,train,4
"C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Pepper,_bell___Bacterial_spot\f92689ca-b5db-4a0a-b865-a69ba215922f___JR_B.Spot 9040.JPG","Pepper,_bell___Bacterial_spot",94382c12c7accbed51fbbd3694dadf38746f31527c16a20dddcf6112621b3654,cdc398acb6bedcc1,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Soybean___healthy\e658f526-5097-42fe-a98e-ef864a40e214___RS_HL 2992.JPG,Soybean___healthy,75991b406a625464bb2f73e7ecebbab5b07c8af6e79b4700271927636bd975a8,ccc399bcbebedcc1,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Strawberry___healthy\0400adad-86e7-4e42-9141-acc0f226e2e7___RS_HL 2111.JPG,Strawberry___healthy,2599d23b7d128cbc7c76dfe5ac6830144c3bf519bec06504e07c77f1e746e0f8,3070c8c88cd4e060,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Bacterial_spot\517dac9f-61a6-4e5a-928e-b0009c2d6d47___GCREC_Bact.Sp 3516.JPG,Tomato___Bacterial_spot,185fc63594a4e2284a12644e4e82acb32c845f49732fb74702cd0bab07569e72,3070c8cccccce060,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Blueberry___healthy\eb906797-8cae-48cd-a9ec-02ccf7cd87e6___RS_HL 4902.JPG,Blueberry___healthy,8e96b12acceb56e395de2450ef8a0c2838d89a38c07ae604dbee0e0687f09690,2460c8c8c4c4c460,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\ca1ec300-5c67-4746-8342-ade53f3d3bdb___YLCV_GCREC 2379.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,ddcc7739c72b2737a8d71098dca7b7aa382cc5b44f3fc095bb37440d337d3335,2470c8c9e4c4e460,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Grape___Black_rot\4ea5f522-3623-4ee9-9a13-4ea63404c500___FAM_B.Rot 5070.JPG,Grape___Black_rot,083b9454738c9ddb472dc63bf7ec157dbad558dea5a4361a4330959e85e907f0,e0c898888888cc4c,val,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Grape___Esca_(Black_Measles)\a9b29c40-bf93-40e8-8621-1f10bbd8fe05___FAM_B.Msls 4091.JPG,Grape___Esca_(Black_Measles),d90f9812d87664ca38a71571c3d9e484e23b1b22533cce103b34c67b41dc8cf8,60d898889888cc44,val,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Apple___healthy\d830e2b3-a724-448b-978b-2529bcdb35bf___RS_HL 6087.JPG,Apple___healthy,66a95668affbb4da1a8e0e88ac2a963a7407213e47830710a9214269496b9522,70e8cccccccce172,test,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Bacterial_spot\4126165c-f9e0-4a17-9d87-d41bf356afb9___GCREC_Bact.Sp 3517.JPG,Tomato___Bacterial_spot,0c730302639fed2a6c5b3c2a9564228f24bd71c922152470fcd108f5eeda3440,71e8cccccccce063,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Grape___Black_rot\840871b3-63fb-4c24-a455-b26b2d6b1bb1___FAM_B.Rot 0503.JPG,Grape___Black_rot,0da6a87ff88d58823e75f65f6bd2907be03bf5b486d643ca47696e438755b5c1,3771c88480a4c8cc,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Grape___Esca_(Black_Measles)\62de1922-3c4f-4d1f-af8b-ccc7f0096a03___FAM_B.Msls 1786.JPG,Grape___Esca_(Black_Measles),4f73b42d07dc6d455cbe1bf93e71fc1e87394053b24b3e4c93702d0b0bf7b8b7,37f1cc84a0a4cacc,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Blueberry___healthy\1ab59260-80f5-457f-82c6-4f0919f3a685___RS_HL 5421.JPG,Blueberry___healthy,398520b960d7aeaba08d28f349d409e25e3259dd25b185d4298c71e251e61a9d,2048cc8c8cccc820,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\63476e74-7aae-4e1c-b550-89e4be34149f___UF.GRC_YLCV_Lab 08428.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,a3bc359d6b73ec0ef573b5ec4b84cf5f6fd7534fb2490e7e1b32069f7a32cb08,2048d89c8c8cc820,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Apple___healthy\23b5f9bf-18d8-43d3-a289-6398a7abde91___RS_HL 7914.JPG,Apple___healthy,be543cf988da846779cf0a13aa019ecd34153ee4febf06048014114061a32a17,13316074cc84c8e1,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Bacterial_spot\5faeaff0-1dcd-4c79-b6ad-22908cc519ac___GCREC_Bact.Sp 5655.JPG,Tomato___Bacterial_spot,64ba5996a46256561d043a787635fb1caff27022686991720fb01e8fcd137634,92317074c484c8e1,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Blueberry___healthy\6eea55b9-060b-48dc-9aaa-c9f438f9729f___RS_HL 5269.JPG,Blueberry___healthy,915be466fdbd048d71610ee3aea6b5b08f17a3bb536eaaf0c5abcf53f612ad24,3271d898b88acc6c,test,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Soybean___healthy\8bbeb1d3-6cf0-43a0-9beb-4ccf96e813da___RS_HL 5541.JPG,Soybean___healthy,acd5073a258da80b133df50fec6ccbf719a285c4f08d38083b4de01533b1aab2,3271c8988a8acc6c,test,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Cherry_(including_sour)___healthy\d0ca6667-2c20-4601-84ae-662d0519f79a___JR_HL 4167.JPG,Cherry_(including_sour)___healthy,372c38ad68d4fa91a6ecbd55f3e4022338fa5275db8608960f27dbc878c4d369,3271c8a6a6e47112,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Orange___Haunglongbing_(Citrus_greening)\c0730a3b-538f-4613-a3f3-6386b8a6a216___CREC_HLB 4092.JPG,Orange___Haunglongbing_(Citrus_greening),c4e8237dd02f9d4dc0678e80d22698c3b4cbe410c7fd629002dcd99f15d1b11f,3271ece6e6e47112,train,4
"C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Pepper,_bell___healthy\6f7d1500-e5d4-4aa0-b066-6a7423e8e289___JR_HL 5816.JPG","Pepper,_bell___healthy",54819c7f8034ff212f86907927c70d0923babd41cdf32343a749cedad6bbab28,908d83918ce6e278,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Soybean___healthy\89d6848c-4bd8-425a-9988-2b076f596093___RS_HL 3835.JPG,Soybean___healthy,0fff3b91f509c1071c393f3c5e90b6c0e09595169b7668a57774086ffb222893,908ca39184e6e270,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Spider_mites Two-spotted_spider_mite\e13060fe-90fb-49c9-ab46-9a4cfd68c02a___Com.G_SpM_FL 1749.JPG,Tomato___Spider_mites Two-spotted_spider_mite,f56364cce709eab83431f37dad2034b7eac8afacd3a0b7bd5c81b9fdb7ba701b,b373c9c9c9cce469,test,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Target_Spot\c6fc37bf-8462-49c9-ac5c-a5f078e34ea4___Com.G_TgS_FL 7958.JPG,Tomato___Target_Spot,0ffa1edd59122cca56d7a3d932a41d60fc707e1e4bf6649bec027a33b9069b6d,3373e9c9c9c8e461,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Bacterial_spot\a2347956-94dc-441c-80b4-f663e8b2edbd___GCREC_Bact.Sp 6054.JPG,Tomato___Bacterial_spot,14f9d1179b5c7439d3d66f69b4de96fee2a77416a3d706995b4a1e9911516e11,d3b1fc74fcdcf8fe,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f6d5ad61-dfaf-4083-a9af-1b0755ec0a5d___YLCV_GCREC 2381.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,d6aebbe9ff3c0f44bb7bf57d89d437b071a66b81a02373c6bb7bf296b8c37f70,d3f1f474fcdcf8f2,test,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Orange___Haunglongbing_(Citrus_greening)\f6eee22f-8590-4ccd-bae0-25a59923402a___CREC_HLB 4968.JPG,Orange___Haunglongbing_(Citrus_greening),18a43dec648da1ae8469d79d1e83bc90dd0fc0952ce5450af3826036bfda2e65,93b168c2cacae061,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Soybean___healthy\576c0215-7a37-4b83-b238-39292ba0bb1a___RS_HL 4519.JPG,Soybean___healthy,30fa0cd12953b6f3a5efc2810ddc573c59e5f637c37079ae057cc90eb85fb179,93b16ccecacac061,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Apple___healthy\45ec1880-a9d2-4458-bd99-f0a6c01e54c4___RS_HL 6303.JPG,Apple___healthy,b46ada17a0a621ca3d66f80da9086ad1b17b0882d958fa9d021e460a7a1d7ae7,6661d8c0cac46033,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Soybean___healthy\7310a63d-55f8-41f1-bba9-9bf3b0c2f447___RS_HL 4457.JPG,Soybean___healthy,c078b11854ee9965f50cc385ea2860674f368707ff6441064060818f9d20f3a5,6661d8c48ad4e033,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Apple___Cedar_apple_rust\9dad463d-4f26-4fa5-b500-7b85613dbf46___FREC_C.Rust 9824.JPG,Apple___Cedar_apple_rust,81d760e628b2afd8116b9e9172f707ef1684ac39a558fc94d1009f80814c6f0a,fffffefefeffffff,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Corn_(maize)___healthy\515cfd7f-995c-4843-93f7-dc2c012db476___R.S_HL 7877 copy 2.jpg,Corn_(maize)___healthy,a5f48ee9322a85a4cd133ffb8e972e3c6ea0da6380f4addda278d5008c398b07,ffffffffffffff7f,test,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Soybean___healthy\12a2ab1f-a6f1-475a-8cd6-59b03fdede6f___RS_HL 4315.JPG,Soybean___healthy,78e38e6ed719aba3d66f3bbd98821d7d8baf559a4b097a650b1d9c3dd028ab89,b271c8cccccce879,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Bacterial_spot\cf155207-09bc-454e-a31b-0d469c9bb3d7___GCREC_Bact.Sp 2989.JPG,Tomato___Bacterial_spot,2b90e38f590a6ead55f60945b8b71337faca62588b1b63e4f1770866a07253d7,b371e8cccecee879,train,4
C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Grape___Esca_(Black_Measles)\6f27cc9b-355f-440a-b1eb-7c45319661b0___FAM_B.Msls 4474.JPG,Grape___Esca_(Black_Measles),3b5a5e187b02574c58fbbff2266b46ea06751ed657dee0f5a4ecb2fb190b85b6,023068e8ccc8e460,train,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Target_Spot\10e35abb-b0a4-4aa2-a533-ab12c7fbe76a___Com.G_TgS_FL 8035.JPG,Tomato___Target_Spot,4c0d54bc9bcba006b33ad9ede9cc81df14900873bd6e91a47a8c86e152eb0727,123068e8c8c8cc60,test,4
