relpath,path,filename,split,class_raw,group_key,sha256,dhash,source_name,specimen,width,height,mode,img_format,bytes,status,status_reason,error
Apple___healthy/13298d36-4425-437d-ae8e-c7d70e200084___RS_HL 6271.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Apple___healthy\13298d36-4425-437d-ae8e-c7d70e200084___RS_HL 6271.JPG,13298d36-4425-437d-ae8e-c7d70e200084___RS_HL 6271.JPG,,Apple___healthy,nan,ec2fe5801c82d7ffff332b9429480c6a432830ccce2f7e1aec1cc4c05f6a0abb,09396cccc8999284,RS_HL 6271,,256,256,RGB,JPEG,13773,dropped,exact duplicate of another file,
Apple___healthy/3673d121-b5de-481c-b057-d4ee5b4959b1___RS_HL 6269.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Apple___healthy\3673d121-b5de-481c-b057-d4ee5b4959b1___RS_HL 6269.JPG,3673d121-b5de-481c-b057-d4ee5b4959b1___RS_HL 6269.JPG,,Apple___healthy,nan,372bc4a6e18895011eaa18638acf8cdd83db9c5909af02cd833263d5cfeb0cbe,d33c78f0e2c4ccf0,RS_HL 6269,,256,256,RGB,JPEG,13533,dropped,exact duplicate of another file,
Apple___healthy/9b75de13-d4b0-4b3f-988c-3e9926eef957___RS_HL 6273.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Apple___healthy\9b75de13-d4b0-4b3f-988c-3e9926eef957___RS_HL 6273.JPG,9b75de13-d4b0-4b3f-988c-3e9926eef957___RS_HL 6273.JPG,,Apple___healthy,nan,767bbeee0c319d4097d7a6d949c6d21def97ceb2d16068eb5b94df42619acc8a,e0f0f0e9d9f9e968,RS_HL 6273,,256,256,RGB,JPEG,10314,dropped,exact duplicate of another file,
Apple___healthy/acb21cc2-8d65-4880-a7bb-dcc1eab1564b___RS_HL 6272.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Apple___healthy\acb21cc2-8d65-4880-a7bb-dcc1eab1564b___RS_HL 6272.JPG,acb21cc2-8d65-4880-a7bb-dcc1eab1564b___RS_HL 6272.JPG,,Apple___healthy,nan,6b242d89b134aa87000f8397d0e85f8448e3b3d607d3b7951cf69a2f3e92b0e2,c4fcfcecccc9d1e5,RS_HL 6272,,256,256,RGB,JPEG,11624,dropped,exact duplicate of another file,
Apple___healthy/c21cf428-bfc3-4710-b5d2-69d1c0e94748___RS_HL 6268.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Apple___healthy\c21cf428-bfc3-4710-b5d2-69d1c0e94748___RS_HL 6268.JPG,c21cf428-bfc3-4710-b5d2-69d1c0e94748___RS_HL 6268.JPG,,Apple___healthy,nan,5d486b62abe59b8dea5aef6b63f887bacd12bbc3cb2a154eb45a7a522e5d88c9,defe72f4f4d8f16f,RS_HL 6268,,256,256,RGB,JPEG,12133,dropped,exact duplicate of another file,
Apple___healthy/dc18b924-f172-445d-8fed-61445d437aaa___RS_HL 6270.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Apple___healthy\dc18b924-f172-445d-8fed-61445d437aaa___RS_HL 6270.JPG,dc18b924-f172-445d-8fed-61445d437aaa___RS_HL 6270.JPG,,Apple___healthy,nan,d4b74359138ab2e04caffe9733f40ccdf616ee2fc9a4ecb2f058d7ba98c94fa8,32c8c4c6cadcf0f1,RS_HL 6270,,256,256,RGB,JPEG,10464,dropped,exact duplicate of another file,
Apple___healthy/fdbfa6f7-f887-442d-8df1-1f0cf839fc4d___RS_HL 6274.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Apple___healthy\fdbfa6f7-f887-442d-8df1-1f0cf839fc4d___RS_HL 6274.JPG,fdbfa6f7-f887-442d-8df1-1f0cf839fc4d___RS_HL 6274.JPG,,Apple___healthy,nan,262198126fd6d982126b69261723e13abb36b3831387972f3aef7ebeedecf0a6,e6deb266e4ccc1c7,RS_HL 6274,,256,256,RGB,JPEG,13627,dropped,exact duplicate of another file,
Tomato___Late_blight/2c47b891-3c97-48f1-a2cc-5aa53d3a1148___GHLB2 Leaf 9011.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Late_blight\2c47b891-3c97-48f1-a2cc-5aa53d3a1148___GHLB2 Leaf 9011.JPG,2c47b891-3c97-48f1-a2cc-5aa53d3a1148___GHLB2 Leaf 9011.JPG,,Tomato___Late_blight,nan,7ff8410db407008bb9aecf0cc5505f2b47ffd89e508413a30ea983b4bc169714,069bf3e8e9f9ffff,GHLB2 Leaf 9011,,256,256,RGB,JPEG,9863,dropped,exact duplicate of another file,
Tomato___Late_blight/5de6da85-f8c4-48c4-b463-3e6bd78884cc___GHLB_PS Leaf 24 Day 16.jpg,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Late_blight\5de6da85-f8c4-48c4-b463-3e6bd78884cc___GHLB_PS Leaf 24 Day 16.jpg,5de6da85-f8c4-48c4-b463-3e6bd78884cc___GHLB_PS Leaf 24 Day 16.jpg,,Tomato___Late_blight,nan,4913a3835e692530e507d542caccacc0d0a7b2fd708782cdec6236a1a0dbbcd6,108e8d960e4d4d08,GHLB_PS Leaf 24 Day 16,ghlb_ps leaf 24,256,256,RGB,JPEG,6045,dropped,exact duplicate of another file,
Tomato___Late_blight/bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Late_blight\bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg,bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg,,Tomato___Late_blight,nan,375eee7b5da77c7afdd73d089574bee3148d04cbe266ee070ee4774d26aca750,084f4f240d0d9a94,GHLB_PS Leaf 23.7 Day 13,ghlb_ps leaf 23.7,256,256,RGB,JPEG,4822,dropped,exact duplicate of another file,
