class_id,class_raw,crop,disease,n_images
0,Apple___Apple_scab,Apple,Apple_scab,630
1,Apple___Black_rot,Apple,Black_rot,621
2,Apple___Cedar_apple_rust,Apple,Cedar_apple_rust,275
3,Apple___healthy,Apple,healthy,1638
4,Blueberry___healthy,Blueberry,healthy,1502
5,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour),Powdery_mildew,1052
6,Cherry_(including_sour)___healthy,Cherry_(including_sour),healthy,854
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize),Cercospora_leaf_spot Gray_leaf_spot,513
8,Corn_(maize)___Common_rust_,Corn_(maize),Common_rust_,1192
9,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize),Northern_Leaf_Blight,985
10,Corn_(maize)___healthy,Corn_(maize),healthy,1162
11,Grape___Black_rot,Grape,Black_rot,1180
12,Grape___Esca_(Black_Measles),Grape,Esca_(Black_Measles),1383
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape,Leaf_blight_(Isariopsis_Leaf_Spot),1076
14,Grape___healthy,Grape,healthy,423
15,Orange___Haunglongbing_(Citrus_greening),Orange,Haunglongbing_(Citrus_greening),5507
16,Peach___Bacterial_spot,Peach,Bacterial_spot,2297
17,Peach___healthy,Peach,healthy,360
18,"Pepper,_bell___Bacterial_spot","Pepper,_bell",Bacterial_spot,997
19,"Pepper,_bell___healthy","Pepper,_bell",healthy,1478
20,Potato___Early_blight,Potato,Early_blight,1000
21,Potato___Late_blight,Potato,Late_blight,1000
22,Potato___healthy,Potato,healthy,152
23,Raspberry___healthy,Raspberry,healthy,371
24,Soybean___healthy,Soybean,healthy,5090
25,Squash___Powdery_mildew,Squash,Powdery_mildew,1835
26,Strawberry___Leaf_scorch,Strawberry,Leaf_scorch,1109
27,Strawberry___healthy,Strawberry,healthy,456
28,Tomato___Bacterial_spot,Tomato,Bacterial_spot,2127
29,Tomato___Early_blight,Tomato,Early_blight,1000
30,Tomato___Late_blight,Tomato,Late_blight,1901
31,Tomato___Leaf_Mold,Tomato,Leaf_Mold,952
32,Tomato___Septoria_leaf_spot,Tomato,Septoria_leaf_spot,1771
33,Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Spider_mites Two-spotted_spider_mite,1676
34,Tomato___Target_Spot,Tomato,Target_Spot,1404
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Tomato_Yellow_Leaf_Curl_Virus,5357
36,Tomato___Tomato_mosaic_virus,Tomato,Tomato_mosaic_virus,373
37,Tomato___healthy,Tomato,healthy,1585
